0: 107.170.224.8
1: 129.6.15.30
2: 131.107.13.100
3: 132.163.4.101
4: 138.236.128.36
5: 173.71.69.90
6: 176.32.100.25
7: 176.32.101.122
8: 176.32.98.204
9: 192.168.1.1
10: 198.38.16.1
11: 203.5.76.9
12: 204.11.201.12
13: 204.69.221.34
14: 205.251.242.52
15: 206.108.0.131
16: 206.108.0.132
17: 207.171.178.6
18: 208.67.220.220
19: 208.75.88.4
20: 208.75.89.4
21: 224.0.0.251
22: 23.23.189.20
23: 239.255.255.250
24: 45.79.10.228
25: 54.239.26.180
26: 54.239.29.231
27: 71.252.219.43
28: 72.21.192.213
29: 72.21.207.109
30: 72.21.207.120
31: 74.125.34.101
32: 8.8.8.8
33: 93.184.216.34
34: 96.244.96.19
35: 97.107.128.58
